pool,kind,arc_id,stage,template,name,keep
ANTIQUITY_CRISIS_INVASION,name,,,Der Zusammenbruch der Bronzezeit,Der Zusammenbruch der Bronzezeit,1
ANTIQUITY_CRISIS_INVASION,name,,,Die große Völkerwanderung,Die große Völkerwanderung,1
ANTIQUITY_CRISIS_INVASION,name,,,Das Zeitalter der Wanderungen,Das Zeitalter der Wanderungen,1
ANTIQUITY_CRISIS_INVASION,name,,,Die Ankunft der Seevölker,Die Ankunft der Seevölker,1
ANTIQUITY_CRISIS_INVASION,name,,,Die barbarischen Invasionen,Die barbarischen Invasionen,1
ANTIQUITY_CRISIS_INVASION,name,,,Die Barbarenkriege,Die Barbarenkriege,1
ANTIQUITY_CRISIS_INVASION,name,,,Die große Horde,Die große Horde,1
ANTIQUITY_CRISIS_INVASION,name,,,Die Reiterhorden,Die Reiterhorden,1
ANTIQUITY_CRISIS_INVASION,name,,,Der Marsch der Fremden,Der Marsch der Fremden,1
ANTIQUITY_CRISIS_INVASION,name,,,Die Jahre der Verwüstung,Die Jahre der Verwüstung,1
ANTIQUITY_CRISIS_INVASION,name,,,Die Jahre der Unruhe,Die Jahre der Unruhe,1
ANTIQUITY_CRISIS_INVASION,name,,,Der Fall der Grenze,Der Fall der Grenze,1
ANTIQUITY_CRISIS_INVASION,name,,,Die Krise der Grenze,Die Krise der Grenze,1
ANTIQUITY_CRISIS_INVASION,name,,,Die Grenzkriege,Die Grenzkriege,1
ANTIQUITY_CRISIS_INVASION,name,,,Die nördlichen Invasionen,Die nördlichen Invasionen,1
ANTIQUITY_CRISIS_INVASION,name,,,Die östlichen Invasionen,Die östlichen Invasionen,1
ANTIQUITY_CRISIS_INVASION,name,,,Der Sturm aus den Grenzlanden,Der Sturm aus den Grenzlanden,1
ANTIQUITY_CRISIS_INVASION,name,,,Der Sturm aus den Provinzen,Der Sturm aus den Provinzen,1
ANTIQUITY_CRISIS_INVASION,name,,,Der Sturm von der Steppe,Der Sturm von der Steppe,1
ANTIQUITY_CRISIS_INVASION,name,,,Der Sturm von der Küste,Der Sturm von der Küste,1
ANTIQUITY_CRISIS_INVASION,name,,,Der Sturm aus dem Herzen des Reiches,Der Sturm aus dem Herzen des Reiches,1
ANTIQUITY_CRISIS_INVASION,name,,,Die Plünderung der Grenze,Die Plünderung der Grenze,1
ANTIQUITY_CRISIS_INVASION,name,,,Die Plünderung der Provinzen,Die Plünderung der Provinzen,1
ANTIQUITY_CRISIS_INVASION,name,,,Die Plünderung der Steppe,Die Plünderung der Steppe,1
ANTIQUITY_CRISIS_INVASION,name,,,Die Plünderung der Küste,Die Plünderung der Küste,1
ANTIQUITY_CRISIS_INVASION,name,,,Die Plünderung des Reichszentrums,Die Plünderung des Reichszentrums,1
ANTIQUITY_CRISIS_INVASION,arc,arc1,1,,Die Grenzüberfälle,1
ANTIQUITY_CRISIS_INVASION,arc,arc1,2,,Die barbarischen Invasionen,1
ANTIQUITY_CRISIS_INVASION,arc,arc1,3,,Die Plünderung der Grenze,1
ANTIQUITY_CRISIS_INVASION,arc,arc1,4,,Die große Völkerwanderung,1
ANTIQUITY_CRISIS_INVASION,arc,arc2,1,,Die Reiterhorden,1
ANTIQUITY_CRISIS_INVASION,arc,arc2,2,,Der Sturm von der Steppe,1
ANTIQUITY_CRISIS_INVASION,arc,arc2,3,,Die Jahre der Verwüstung,1
ANTIQUITY_CRISIS_INVASION,arc,arc2,4,,Das Zeitalter der Wanderungen,1
ANTIQUITY_CRISIS_INVASION,arc,arc3,1,,Die Grenzkriege,1
ANTIQUITY_CRISIS_INVASION,arc,arc3,2,,Die Barbarenkriege,1
ANTIQUITY_CRISIS_INVASION,arc,arc3,3,,Die Plünderung der Provinzen,1
ANTIQUITY_CRISIS_INVASION,arc,arc3,4,,Der Zusammenbruch der Bronzezeit,1
ANTIQUITY_CRISIS_PLAGUE,name,,,Die Antoninische Pest,Die Antoninische Pest,1
ANTIQUITY_CRISIS_PLAGUE,name,,,Die Pest des Galen,Die Pest des Galen,1
ANTIQUITY_CRISIS_PLAGUE,name,,,Die große Pest,Die große Pest,1
ANTIQUITY_CRISIS_PLAGUE,name,,,Die große Sterblichkeit,Die große Sterblichkeit,1
ANTIQUITY_CRISIS_PLAGUE,name,,,Die große Seuche,Die große Seuche,1
ANTIQUITY_CRISIS_PLAGUE,name,,,Das große Sterben,Das große Sterben,1
ANTIQUITY_CRISIS_PLAGUE,name,,,Die Pestjahre,Die Pestjahre,1
ANTIQUITY_CRISIS_PLAGUE,name,,,Die Zeit des Sterbens,Die Zeit des Sterbens,1
ANTIQUITY_CRISIS_PLAGUE,name,,,Die Zeit der Pest,Die Zeit der Pest,1
ANTIQUITY_CRISIS_PLAGUE,name,,,Die Jahre der Sterblichkeit,Die Jahre der Sterblichkeit,1
ANTIQUITY_CRISIS_PLAGUE,name,,,Die Jahre des Verfalls,Die Jahre des Verfalls,1
ANTIQUITY_CRISIS_PLAGUE,name,,,Die Schweißkrankheit,Die Schweißkrankheit,1
ANTIQUITY_CRISIS_PLAGUE,name,,,Die verheerende Pest,Die verheerende Pest,1
ANTIQUITY_CRISIS_PLAGUE,name,,,Die Sommerpest,Die Sommerpest,1
ANTIQUITY_CRISIS_PLAGUE,name,,,Die Winterseuche,Die Winterseuche,1
ANTIQUITY_CRISIS_PLAGUE,name,,,Der stille Tod,Der stille Tod,1
ANTIQUITY_CRISIS_PLAGUE,name,,,Der Schwarze Tod,Der Schwarze Tod,1
ANTIQUITY_CRISIS_PLAGUE,name,,,Der Rote Tod,Der Rote Tod,1
ANTIQUITY_CRISIS_PLAGUE,name,,,Der Graue Tod,Der Graue Tod,1
ANTIQUITY_CRISIS_PLAGUE,name,,,Der Graue Tod,Der Graue Tod,1
ANTIQUITY_CRISIS_PLAGUE,name,,,Die Pest der Grenze,Die Pest der Grenze,1
