pool,kind,arc_id,stage,template,name,keep
ANTIQUITY_CRISIS_INVASION,name,,,El colapso de la Edad de Bronce,El colapso de la Edad de Bronce,1
ANTIQUITY_CRISIS_INVASION,name,,,La gran migración,La gran migración,1
ANTIQUITY_CRISIS_INVASION,name,,,La era de las migraciones,La era de las migraciones,1
ANTIQUITY_CRISIS_INVASION,name,,,La llegada de los Pueblos del Mar,La llegada de los Pueblos del Mar,1
ANTIQUITY_CRISIS_INVASION,name,,,Las invasiones bárbaras,Las invasiones bárbaras,1
ANTIQUITY_CRISIS_INVASION,name,,,Las guerras bárbaras,Las guerras bárbaras,1
ANTIQUITY_CRISIS_INVASION,name,,,La gran horda,La gran horda,1
ANTIQUITY_CRISIS_INVASION,name,,,La llegada de los señores de la estepa,La llegada de los señores de la estepa,1
ANTIQUITY_CRISIS_INVASION,name,,,La marcha de los extraños,La marcha de los extraños,1
ANTIQUITY_CRISIS_INVASION,name,,,Los años de devastación,Los años de devastación,1
ANTIQUITY_CRISIS_INVASION,name,,,Los años de agitación,Los años de agitación,1
ANTIQUITY_CRISIS_INVASION,name,,,La caída de la frontera,La caída de la frontera,1
ANTIQUITY_CRISIS_INVASION,name,,,La crisis de la frontera,La crisis de la frontera,1
ANTIQUITY_CRISIS_INVASION,name,,,Las guerras de la frontera,Las guerras de la frontera,1
ANTIQUITY_CRISIS_INVASION,name,,,Las invasiones del norte,Las invasiones del norte,1
ANTIQUITY_CRISIS_INVASION,name,,,Las invasiones del este,Las invasiones del este,1
ANTIQUITY_CRISIS_INVASION,name,,,La tormenta de la frontera,La tormenta de la frontera,1
ANTIQUITY_CRISIS_INVASION,name,,,La tormenta de las provincias,La tormenta de las provincias,1
ANTIQUITY_CRISIS_INVASION,name,,,La tormenta de la estepa,La tormenta de la estepa,1
ANTIQUITY_CRISIS_INVASION,name,,,La tormenta de la costa,La tormenta de la costa,1
ANTIQUITY_CRISIS_INVASION,name,,,La tormenta del corazón del imperio,La tormenta del corazón del imperio,1
ANTIQUITY_CRISIS_INVASION,name,,,El saqueo de la frontera,El saqueo de la frontera,1
ANTIQUITY_CRISIS_INVASION,name,,,El saqueo de las provincias,El saqueo de las provincias,1
ANTIQUITY_CRISIS_INVASION,name,,,El saqueo de la estepa,El saqueo de la estepa,1
ANTIQUITY_CRISIS_INVASION,name,,,El saqueo de la costa,El saqueo de la costa,1
ANTIQUITY_CRISIS_INVASION,name,,,El saqueo del corazón del imperio,El saqueo del corazón del imperio,1
ANTIQUITY_CRISIS_INVASION,arc,arc1,1,,Las incursiones fronterizas,1
ANTIQUITY_CRISIS_INVASION,arc,arc1,2,,Las invasiones bárbaras,1
ANTIQUITY_CRISIS_INVASION,arc,arc1,3,,El saqueo de la frontera,1
ANTIQUITY_CRISIS_INVASION,arc,arc1,4,,La gran migración,1
ANTIQUITY_CRISIS_INVASION,arc,arc2,1,,La llegada de los señores de la estepa,1
ANTIQUITY_CRISIS_INVASION,arc,arc2,2,,La tormenta desde la estepa,1
ANTIQUITY_CRISIS_INVASION,arc,arc2,3,,La caída de la frontera,1
ANTIQUITY_CRISIS_INVASION,arc,arc2,4,,Los años de devastación,1
ANTIQUITY_CRISIS_INVASION,arc,arc3,1,,Las guerras de la frontera,1
ANTIQUITY_CRISIS_INVASION,arc,arc3,2,,Las guerras bárbaras,1
ANTIQUITY_CRISIS_INVASION,arc,arc3,3,,El saqueo de las provincias,1
ANTIQUITY_CRISIS_INVASION,arc,arc3,4,,El colapso de la Edad de Bronce,1
ANTIQUITY_CRISIS_PLAGUE,name,,,La peste antonina,La peste antonina,1
ANTIQUITY_CRISIS_PLAGUE,name,,,La peste de Galeno,La peste de Galeno,1
ANTIQUITY_CRISIS_PLAGUE,name,,,La gran peste,La gran peste,1
ANTIQUITY_CRISIS_PLAGUE,name,,,La gran mortalidad,La gran mortalidad,1
ANTIQUITY_CRISIS_PLAGUE,name,,,La gran fiebre,La gran fiebre,1
ANTIQUITY_CRISIS_PLAGUE,name,,,La gran muerte,La gran muerte,1
ANTIQUITY_CRISIS_PLAGUE,name,,,Los años de peste,Los años de peste,1
ANTIQUITY_CRISIS_PLAGUE,name,,,Los tiempos de la muerte,Los tiempos de la muerte,1
ANTIQUITY_CRISIS_PLAGUE,name,,,El tiempo de la peste,El tiempo de la peste,1
ANTIQUITY_CRISIS_PLAGUE,name,,,Los años de mortalidad,Los años de mortalidad,1
ANTIQUITY_CRISIS_PLAGUE,name,,,Los años de cenizas,Los años de cenizas,1
ANTIQUITY_CRISIS_PLAGUE,name,,,El mal del sudor,El mal del sudor,1
ANTIQUITY_CRISIS_PLAGUE,name,,,La peste devastadora,La peste devastadora,1
ANTIQUITY_CRISIS_PLAGUE,name,,,La peste de verano,La peste de verano,1
ANTIQUITY_CRISIS_PLAGUE,name,,,La peste invernal,La peste invernal,1
ANTIQUITY_CRISIS_PLAGUE,name,,,La muerte silenciosa,La muerte silenciosa,1
ANTIQUITY_CRISIS_PLAGUE,name,,,La muerte negra,La muerte negra,1
ANTIQUITY_CRISIS_PLAGUE,name,,,La muerte roja,La muerte roja,1
ANTIQUITY_CRISIS_PLAGUE,name,,,La muerte gris,La muerte gris,1
ANTIQUITY_CRISIS_PLAGUE,name,,,La muerte gris ceniza,La muerte gris ceniza,1
ANTIQUITY_CRISIS_PLAGUE,name,,,La peste de la frontera,La peste de la frontera,1
