pool,kind,arc_id,stage,template,name,keep
ANTIQUITY_CRISIS_INVASION,name,,,The Bronze Age Collapse,Il collasso dell'età del bronzo,1
ANTIQUITY_CRISIS_INVASION,name,,,The Great Migration,La grande migrazione,1
ANTIQUITY_CRISIS_INVASION,name,,,The Age of Migrations,L'età delle migrazioni,1
ANTIQUITY_CRISIS_INVASION,name,,,The Coming of the Sea Peoples,L'arrivo dei Popoli del Mare,1
ANTIQUITY_CRISIS_INVASION,name,,,The Barbarian Invasions,Le invasioni barbariche,1
ANTIQUITY_CRISIS_INVASION,name,,,The Barbarian Wars,Le guerre barbariche,1
ANTIQUITY_CRISIS_INVASION,name,,,The Great Horde,La grande orda,1
ANTIQUITY_CRISIS_INVASION,name,,,The Coming of the Horse Lords,L'arrivo dei popoli della steppa,1
ANTIQUITY_CRISIS_INVASION,name,,,The March of Strangers,La marcia degli stranieri,1
ANTIQUITY_CRISIS_INVASION,name,,,The Years of Devastation,Gli anni della devastazione,1
ANTIQUITY_CRISIS_INVASION,name,,,The Years of Turmoil,Gli anni del tumulto,1
ANTIQUITY_CRISIS_INVASION,name,,,The Frontier Collapse,Il crollo della frontiera,1
ANTIQUITY_CRISIS_INVASION,name,,,The Crisis of the Frontier,La crisi della frontiera,1
ANTIQUITY_CRISIS_INVASION,name,,,The Frontier Wars,Le guerre di frontiera,1
ANTIQUITY_CRISIS_INVASION,name,,,The {regional} Invasions,Le invasioni del nord,1
ANTIQUITY_CRISIS_INVASION,name,,,The {regional} Invasions,Le invasioni dell'est,1
ANTIQUITY_CRISIS_INVASION,name,,,The Storm from the {place},La minaccia dalla frontiera,1
ANTIQUITY_CRISIS_INVASION,name,,,The Storm from the {place},La rivolta delle province,1
ANTIQUITY_CRISIS_INVASION,name,,,The Storm from the {place},La tempesta dalla steppa,1
ANTIQUITY_CRISIS_INVASION,name,,,The Storm from the {place},La tempesta dalla costa,1
ANTIQUITY_CRISIS_INVASION,name,,,The Storm from the {place},La tempesta dal cuore dell'impero,1
ANTIQUITY_CRISIS_INVASION,name,,,The Sack of the {place},Il sacco della frontiera,1
ANTIQUITY_CRISIS_INVASION,name,,,The Sack of the {place},Il sacco delle province,1
ANTIQUITY_CRISIS_INVASION,name,,,The Sack of the {place},Le razzie della steppa,1
ANTIQUITY_CRISIS_INVASION,name,,,The Sack of the {place},Il sacco della costa,1
ANTIQUITY_CRISIS_INVASION,name,,,The Sack of the {place},Il sacco del cuore dell'impero,1
ANTIQUITY_CRISIS_INVASION,arc,arc1,1,,Le incursioni di confine,1
ANTIQUITY_CRISIS_INVASION,arc,arc1,2,,Le invasioni barbariche,1
ANTIQUITY_CRISIS_INVASION,arc,arc1,3,,Il sacco della frontiera,1
ANTIQUITY_CRISIS_INVASION,arc,arc1,4,,La grande migrazione,1
ANTIQUITY_CRISIS_INVASION,arc,arc2,1,,L'arrivo dei popoli della steppa,1
ANTIQUITY_CRISIS_INVASION,arc,arc2,2,,La tempesta dalla steppa,1
ANTIQUITY_CRISIS_INVASION,arc,arc2,3,,Il crollo della frontiera,1
ANTIQUITY_CRISIS_INVASION,arc,arc2,4,,Gli anni della devastazione,1
ANTIQUITY_CRISIS_INVASION,arc,arc3,1,,Le guerre di frontiera,1
ANTIQUITY_CRISIS_INVASION,arc,arc3,2,,Le guerre barbariche,1
ANTIQUITY_CRISIS_INVASION,arc,arc3,3,,Il sacco delle province,1
ANTIQUITY_CRISIS_INVASION,arc,arc3,4,,Il collasso dell'età del bronzo,1
ANTIQUITY_CRISIS_PLAGUE,name,,,The Antonine Plague,La peste antonina,1
ANTIQUITY_CRISIS_PLAGUE,name,,,The Plague of Galen,La peste di Galeno,1
ANTIQUITY_CRISIS_PLAGUE,name,,,The Great Pestilence,La grande pestilenza,1
ANTIQUITY_CRISIS_PLAGUE,name,,,The Great Mortality,La grande moria,1
ANTIQUITY_CRISIS_PLAGUE,name,,,The Great Fever,La grande febbre,1
ANTIQUITY_CRISIS_PLAGUE,name,,,The Great Dying,Il grande flagello,1
ANTIQUITY_CRISIS_PLAGUE,name,,,The Plague Years,Gli anni della peste,1
ANTIQUITY_CRISIS_PLAGUE,name,,,The Dying Time,Il tempo della morte,1
ANTIQUITY_CRISIS_PLAGUE,name,,,The Time of Pestilence,Il tempo della pestilenza,1
ANTIQUITY_CRISIS_PLAGUE,name,,,The Years of Mortality,Gli anni della mortalità,1
ANTIQUITY_CRISIS_PLAGUE,name,,,The Years of Ashes,Gli anni delle ceneri,1
ANTIQUITY_CRISIS_PLAGUE,name,,,The Sweating Sickness,La febbre sudorifera,1
