pool,kind,arc_id,stage,template,name,keep
ANTIQUITY_CRISIS_INVASION,name,,,青銅器時代の崩壊,青銅器時代の崩壊,1
ANTIQUITY_CRISIS_INVASION,name,,,大移動,大移動,1
ANTIQUITY_CRISIS_INVASION,name,,,民族移動の時代,民族移動の時代,1
ANTIQUITY_CRISIS_INVASION,name,,,海の民の到来,海の民の到来,1
ANTIQUITY_CRISIS_INVASION,name,,,蛮族の侵攻,蛮族の侵攻,1
ANTIQUITY_CRISIS_INVASION,name,,,蛮族戦争,蛮族戦争,1
ANTIQUITY_CRISIS_INVASION,name,,,大遊牧連合,大遊牧連合,1
ANTIQUITY_CRISIS_INVASION,name,,,騎馬の王たちの到来,騎馬の王たちの到来,1
ANTIQUITY_CRISIS_INVASION,name,,,異邦人の行軍,異邦人の行軍,1
ANTIQUITY_CRISIS_INVASION,name,,,荒廃の年月,荒廃の年月,1
ANTIQUITY_CRISIS_INVASION,name,,,動乱の年月,動乱の年月,1
ANTIQUITY_CRISIS_INVASION,name,,,辺境の崩壊,辺境の崩壊,1
ANTIQUITY_CRISIS_INVASION,name,,,辺境の危機,辺境の危機,1
ANTIQUITY_CRISIS_INVASION,name,,,辺境戦争,辺境戦争,1
ANTIQUITY_CRISIS_INVASION,name,,,北方の侵攻,北方の侵攻,1
ANTIQUITY_CRISIS_INVASION,name,,,東方の侵攻,東方の侵攻,1
ANTIQUITY_CRISIS_INVASION,name,,,辺境からの嵐,辺境からの嵐,1
ANTIQUITY_CRISIS_INVASION,name,,,諸州からの嵐,諸州からの嵐,1
ANTIQUITY_CRISIS_INVASION,name,,,草原からの嵐,草原からの嵐,1
ANTIQUITY_CRISIS_INVASION,name,,,海岸からの嵐,海岸からの嵐,1
ANTIQUITY_CRISIS_INVASION,name,,,中心地からの嵐,中心地からの嵐,1
ANTIQUITY_CRISIS_INVASION,name,,,辺境の劫掠,辺境の劫掠,1
ANTIQUITY_CRISIS_INVASION,name,,,諸州の劫掠,諸州の劫掠,1
ANTIQUITY_CRISIS_INVASION,name,,,草原の劫掠,草原の劫掠,1
ANTIQUITY_CRISIS_INVASION,name,,,海岸の劫掠,海岸の劫掠,1
ANTIQUITY_CRISIS_INVASION,name,,,中心地の劫掠,中心地の劫掠,1
ANTIQUITY_CRISIS_INVASION,arc,arc1,1,,辺境の襲撃,1
ANTIQUITY_CRISIS_INVASION,arc,arc1,2,,蛮族の侵攻,1
ANTIQUITY_CRISIS_INVASION,arc,arc1,3,,辺境の劫掠,1
ANTIQUITY_CRISIS_INVASION,arc,arc1,4,,大移動,1
ANTIQUITY_CRISIS_INVASION,arc,arc2,1,,騎馬の王たちの到来,1
ANTIQUITY_CRISIS_INVASION,arc,arc2,2,,草原からの嵐,1
ANTIQUITY_CRISIS_INVASION,arc,arc2,3,,辺境の陥落,1
ANTIQUITY_CRISIS_INVASION,arc,arc2,4,,荒廃の年月,1
ANTIQUITY_CRISIS_INVASION,arc,arc3,1,,辺境戦争,1
ANTIQUITY_CRISIS_INVASION,arc,arc3,2,,蛮族戦争,1
ANTIQUITY_CRISIS_INVASION,arc,arc3,3,,諸州の劫掠,1
ANTIQUITY_CRISIS_INVASION,arc,arc3,4,,青銅器時代の崩壊,1
ANTIQUITY_CRISIS_PLAGUE,name,,,アントニヌスの疫病,アントニヌスの疫病,1
ANTIQUITY_CRISIS_PLAGUE,name,,,ガレノスの疫病,ガレノスの疫病,1
ANTIQUITY_CRISIS_PLAGUE,name,,,大悪疫,大悪疫,1
ANTIQUITY_CRISIS_PLAGUE,name,,,大死病,大死病,1
ANTIQUITY_CRISIS_PLAGUE,name,,,大熱病,大熱病,1
ANTIQUITY_CRISIS_PLAGUE,name,,,大いなる死,大いなる死,1
ANTIQUITY_CRISIS_PLAGUE,name,,,疫病の年月,疫病の年月,1
ANTIQUITY_CRISIS_PLAGUE,name,,,死の時代,死の時代,1
ANTIQUITY_CRISIS_PLAGUE,name,,,悪疫の時代,悪疫の時代,1
ANTIQUITY_CRISIS_PLAGUE,name,,,死亡の年月,死亡の年月,1
ANTIQUITY_CRISIS_PLAGUE,name,,,灰燼の年月,灰燼の年月,1
ANTIQUITY_CRISIS_PLAGUE,name,,,粟粒熱,粟粒熱,1
ANTIQUITY_CRISIS_PLAGUE,name,,,消耗の疫病,消耗の疫病,1
ANTIQUITY_CRISIS_PLAGUE,name,,,夏の疫病,夏の疫病,1
ANTIQUITY_CRISIS_PLAGUE,name,,,冬の病,冬の病,1
ANTIQUITY_CRISIS_PLAGUE,name,,,静かなる死,静かなる死,1
ANTIQUITY_CRISIS_PLAGUE,name,,,黒死病,黒死病,1
ANTIQUITY_CRISIS_PLAGUE,name,,,赤死病,赤死病,1
ANTIQUITY_CRISIS_PLAGUE,name,,,灰死病,灰死病,1
ANTIQUITY_CRISIS_PLAGUE,name,,,灰燼の死,灰燼の死,1
ANTIQUITY_CRISIS_PLAGUE,name,,,辺境の疫病,辺境の疫病,1
