pool,kind,arc_id,stage,template,name,keep
ANTIQUITY_CRISIS_INVASION,name,,,The Bronze Age Collapse,O Colapso da Idade do Bronze,1
ANTIQUITY_CRISIS_INVASION,name,,,The Great Migration,A Grande Migração,1
ANTIQUITY_CRISIS_INVASION,name,,,The Age of Migrations,A Era das Migrações,1
ANTIQUITY_CRISIS_INVASION,name,,,The Coming of the Sea Peoples,A Chegada dos Povos do Mar,1
ANTIQUITY_CRISIS_INVASION,name,,,The Barbarian Invasions,As Invasões Bárbaras,1
ANTIQUITY_CRISIS_INVASION,name,,,The Barbarian Wars,As Guerras Bárbaras,1
ANTIQUITY_CRISIS_INVASION,name,,,The Great Horde,A Grande Horda,1
ANTIQUITY_CRISIS_INVASION,name,,,The Coming of the Horse Lords,A Chegada dos Senhores das Estepes,1
ANTIQUITY_CRISIS_INVASION,name,,,The March of Strangers,A Marcha dos Estranhos,1
ANTIQUITY_CRISIS_INVASION,name,,,The Years of Devastation,Os Anos de Devastação,1
ANTIQUITY_CRISIS_INVASION,name,,,The Years of Turmoil,Os Anos de Tormento,1
ANTIQUITY_CRISIS_INVASION,name,,,The Frontier Collapse,O Colapso da Fronteira,1
ANTIQUITY_CRISIS_INVASION,name,,,The Crisis of the Frontier,A Crise da Fronteira,1
ANTIQUITY_CRISIS_INVASION,name,,,The Frontier Wars,As Guerras da Fronteira,1
ANTIQUITY_CRISIS_INVASION,name,,,The {regional} Invasions,As Invasões do Norte,1
ANTIQUITY_CRISIS_INVASION,name,,,The {regional} Invasions,As Invasões do Leste,1
ANTIQUITY_CRISIS_INVASION,name,,,The Storm from the {place},A Tempestade vinda da Fronteira,1
ANTIQUITY_CRISIS_INVASION,name,,,The Storm from the {place},A Tempestade vinda das Províncias,1
ANTIQUITY_CRISIS_INVASION,name,,,The Storm from the {place},A Tempestade vinda das Estepes,1
ANTIQUITY_CRISIS_INVASION,name,,,The Storm from the {place},A Tempestade vinda da Costa,1
ANTIQUITY_CRISIS_INVASION,name,,,The Storm from the {place},A Tempestade vinda do Coração do Império,1
ANTIQUITY_CRISIS_INVASION,name,,,The Sack of the {place},O Saque da Fronteira,1
ANTIQUITY_CRISIS_INVASION,name,,,The Sack of the {place},O Saque das Províncias,1
ANTIQUITY_CRISIS_INVASION,name,,,The Sack of the {place},O Saque das Estepes,1
ANTIQUITY_CRISIS_INVASION,name,,,The Sack of the {place},O Saque da Costa,1
ANTIQUITY_CRISIS_INVASION,name,,,The Sack of the {place},O Saque do Coração do Império,1
ANTIQUITY_CRISIS_INVASION,arc,arc1,1,,As Incursões na Fronteira,1
