pool,kind,arc_id,stage,template,name,keep
ANTIQUITY_CRISIS_INVASION,name,,,The Bronze Age Collapse,青铜时代崩溃,1
ANTIQUITY_CRISIS_INVASION,name,,,The Great Migration,大迁徙,1
ANTIQUITY_CRISIS_INVASION,name,,,The Age of Migrations,民族迁徙时代,1
ANTIQUITY_CRISIS_INVASION,name,,,The Coming of the Sea Peoples,海上民族,1
ANTIQUITY_CRISIS_INVASION,name,,,The Barbarian Invasions,蛮族入侵,1
ANTIQUITY_CRISIS_INVASION,name,,,The Barbarian Wars,蛮族战争,1
ANTIQUITY_CRISIS_INVASION,name,,,The Great Horde,大部族,1
ANTIQUITY_CRISIS_INVASION,name,,,The Coming of the Horse Lords,草原领主来袭,1
ANTIQUITY_CRISIS_INVASION,name,,,The March of Strangers,异族迁徙,1
ANTIQUITY_CRISIS_INVASION,name,,,The Years of Devastation,毁灭之年,1
ANTIQUITY_CRISIS_INVASION,name,,,The Years of Turmoil,动荡之年,1
ANTIQUITY_CRISIS_INVASION,name,,,The Frontier Collapse,边疆崩溃,1
ANTIQUITY_CRISIS_INVASION,name,,,The Crisis of the Frontier,边疆危机,1
ANTIQUITY_CRISIS_INVASION,name,,,The Frontier Wars,边疆战争,1
ANTIQUITY_CRISIS_INVASION,name,,,The {regional} Invasions,北方入侵,1
ANTIQUITY_CRISIS_INVASION,name,,,The {regional} Invasions,东方入侵,1
ANTIQUITY_CRISIS_INVASION,name,,,The Storm from the {place},边疆风暴,1
ANTIQUITY_CRISIS_INVASION,name,,,The Storm from the {place},行省风暴,1
ANTIQUITY_CRISIS_INVASION,name,,,The Storm from the {place},来自草原的风暴,1
ANTIQUITY_CRISIS_INVASION,name,,,The Storm from the {place},海岸风暴,1
ANTIQUITY_CRISIS_INVASION,name,,,The Storm from the {place},腹地风暴,1
ANTIQUITY_CRISIS_INVASION,name,,,The Sack of the {place},边疆之劫,1
ANTIQUITY_CRISIS_INVASION,name,,,The Sack of the {place},行省之劫,1
ANTIQUITY_CRISIS_INVASION,name,,,The Sack of the {place},草原之劫,1
ANTIQUITY_CRISIS_INVASION,name,,,The Sack of the {place},海岸之劫,1
ANTIQUITY_CRISIS_INVASION,name,,,The Sack of the {place},腹地之劫,1
ANTIQUITY_CRISIS_INVASION,arc,arc1,1,,边疆突袭,1
ANTIQUITY_CRISIS_INVASION,arc,arc1,2,,蛮族入侵,1
ANTIQUITY_CRISIS_INVASION,arc,arc1,3,,边疆之劫,1
ANTIQUITY_CRISIS_INVASION,arc,arc1,4,,大迁徙,1
ANTIQUITY_CRISIS_INVASION,arc,arc2,1,,草原领主来袭,1
ANTIQUITY_CRISIS_INVASION,arc,arc2,2,,来自草原的风暴,1
ANTIQUITY_CRISIS_INVASION,arc,arc2,3,,边疆的沦陷,1
ANTIQUITY_CRISIS_INVASION,arc,arc2,4,,毁灭之年,1
ANTIQUITY_CRISIS_INVASION,arc,arc3,1,,边疆战争,1
ANTIQUITY_CRISIS_INVASION,arc,arc3,2,,蛮族战争,1
ANTIQUITY_CRISIS_INVASION,arc,arc3,3,,行省之劫,1
ANTIQUITY_CRISIS_INVASION,arc,arc3,4,,青铜时代崩溃,1
ANTIQUITY_CRISIS_PLAGUE,name,,,The Antonine Plague,安东尼瘟疫,1
ANTIQUITY_CRISIS_PLAGUE,name,,,The Plague of Galen,盖伦瘟疫,1
ANTIQUITY_CRISIS_PLAGUE,name,,,The Great Pestilence,大瘟疫,1
ANTIQUITY_CRISIS_PLAGUE,name,,,The Great Mortality,大死亡,1
ANTIQUITY_CRISIS_PLAGUE,name,,,The Great Fever,大热病,1
ANTIQUITY_CRISIS_PLAGUE,name,,,The Great Perishing,大消亡,1
ANTIQUITY_CRISIS_PLAGUE,name,,,The Plague Years,瘟疫之年,1
ANTIQUITY_CRISIS_PLAGUE,name,,,The Dying Time,死亡时代,1
ANTIQUITY_CRISIS_PLAGUE,name,,,The Time of Pestilence,瘟疫时期,1
ANTIQUITY_CRISIS_PLAGUE,name,,,The Years of Mortality,死亡之年,1
ANTIQUITY_CRISIS_PLAGUE,name,,,The Years of Ashes,灰烬之年,1
ANTIQUITY_CRISIS_PLAGUE,name,,,The Sweating Sickness,出汗病,1
ANTIQUITY_CRISIS_PLAGUE,name,,,The Wasting Plague,消耗性瘟疫,1
ANTIQUITY_CRISIS_PLAGUE,name,,,The Summer Plague,夏季瘟疫,1
ANTIQUITY_CRISIS_PLAGUE,name,,,The Winter Sickness,冬季瘟疫,1
ANTIQUITY_CRISIS_PLAGUE,name,,,The Silent Death,无声的死亡,1
ANTIQUITY_CRISIS_PLAGUE,name,,,The {color} Death,黑死病,1
ANTIQUITY_CRISIS_PLAGUE,name,,,The {color} Death,红死病,1
ANTIQUITY_CRISIS_PLAGUE,name,,,The {color} Death,灰死病,1
ANTIQUITY_CRISIS_PLAGUE,name,,,The {color} Death,灰烬瘟疫,1
ANTIQUITY_CRISIS_PLAGUE,name,,,The Plague of the {place},边疆瘟疫,1
ANTIQUITY_CRISIS_PLAGUE,name,,,The Plague of the {place},行省瘟疫,1
ANTIQUITY_CRISIS_PLAGUE,name,,,The Plague of the {place},草原瘟疫,1
ANTIQUITY_CRISIS_PLAGUE,name,,,The Plague of the {place},海岸瘟疫,1
ANTIQUITY_CRISIS_PLAGUE,name,,,The Plague of the {place},腹地瘟疫,1
ANTIQUITY_CRISIS_PLAGUE,arc,arc1,1,,夏季瘟疫,1
ANTIQUITY_CRISIS_PLAGUE,arc,arc1,2,,瘟疫之年,1
ANTIQUITY_CRISIS_PLAGUE,arc,arc1,3,,大死亡,1
